Date,LTCM_Net,USGG10YR,USGG10YR_lag,USGG10YR_Change,USGG10YR_Change_lag,BAA10YM,BAA10YM_lag,BAA10YM_Change,BAA10YM_Change_lag,AAA10YM,AAA10YM_lag,AAA10YM_Change,AAA10YM_Change_lag,SPX_adj,SPX_adj_lag,SPX_adj_Change,SPX_adj_Change_lag,DXY_adj,DXY_adj_lag,DXY_adj_Change,DXY_adj_Change_lag,MSCI_W,MSCI_W_lag,MSCI_W_Change,MSCI_W_Change_lag,VIX,VIX_lag,VIX_Change,VIX_Change_lag,rtrn
4/29/1994,0.008,7.042,6.738,0.0451,0.0994,1.44,1.55,-0.071,-0.0606,0.81,0.91,-0.1099,-0.09,456.5,450.910004,0.0124,0.0115,92.519997,92.120003,0.0043,-0.0101,617.299,599.737,0.0293,-0.0447,13.03,13.77,-0.053740015,-0.3266504,1
5/31/1994,0.053,7.147,7.042,0.0149,0.0451,1.55,1.44,0.0764,-0.071,0.87,0.81,0.0741,-0.1099,444.269989,456.5,-0.0268,0.0124,89.620003,92.519997,-0.0313,0.0043,617.906,617.299,0.001,0.0293,14.97,13.03,0.148887183,-0.053740015,1
6/30/1994,-0.029,7.32,7.147,0.0242,0.0149,1.5,1.55,-0.0323,0.0764,0.81,0.87,-0.069,0.0741,458.26001,444.269989,0.0315,-0.0268,89.870003,89.620003,0.0028,-0.0313,615.194,617.906,-0.0044,0.001,11.13,14.97,-0.256513026,0.148887183,0
7/29/1994,0.084,7.111,7.32,-0.0286,0.0242,1.5,1.5,0,-0.0323,0.83,0.81,0.0247,-0.069,475.48999,458.26001,0.0376,0.0315,89.669998,89.870003,-0.0022,0.0028,625.894,615.194,0.0174,-0.0044,11.97,11.13,0.075471698,-0.256513026,1
8/31/1994,0.03,7.173,7.111,0.0087,-0.0286,1.52,1.5,0.0133,0,0.88,0.83,0.0602,0.0247,462.709991,475.48999,-0.0269,0.0376,87.879997,89.669998,-0.02,-0.0022,643.738,625.894,0.0285,0.0174,14.28,11.97,0.192982456,0.075471698,1
9/30/1994,-0.003,7.603,7.173,0.0599,0.0087,1.46,1.52,-0.0395,0.0133,0.83,0.88,-0.0568,0.0602,472.350006,462.709991,0.0208,-0.0269,85.690002,87.879997,-0.0249,-0.02,625.806,643.738,-0.0279,0.0285,14.56,14.28,0.019607843,0.192982456,0
10/31/1994,0.004,7.807,7.603,0.0268,0.0599,1.36,1.46,-0.0685,-0.0395,0.72,0.83,-0.1325,-0.0568,453.690002,472.350006,-0.0395,0.0208,89.129997,85.690002,0.0401,-0.0249,642.57,625.806,0.0268,-0.0279,15.95,14.56,0.095467033,0.019607843,1
11/30/1994,0.061,7.906,7.807,0.0127,0.0268,1.29,1.36,-0.0515,-0.0685,0.65,0.72,-0.0972,-0.1325,459.269989,453.690002,0.0123,-0.0395,88.730003,89.129997,-0.0045,0.0401,613.676,642.57,-0.045,0.0268,13.2,15.95,-0.172413793,0.095467033,1
12/30/1994,-0.005,7.822,7.906,-0.0106,0.0127,1.3,1.29,0.0078,-0.0515,0.68,0.65,0.0462,-0.0972,470.420013,459.269989,0.0243,0.0123,87.989998,88.730003,-0.0083,-0.0045,618.59,613.676,0.008,-0.045,11.96,13.2,-0.093939394,-0.172413793,0
1/31/1995,0.045,7.581,7.822,-0.0308,-0.0106,1.38,1.3,0.0615,0.0078,0.79,0.68,0.1618,0.0462,487.390015,470.420013,0.0361,0.0243,85.93,87.989998,-0.0234,-0.0083,608.263,618.59,-0.0167,0.008,11.75,11.96,-0.017558528,-0.093939394,1
2/28/1995,-0.006,7.201,7.581,-0.0501,-0.0308,1.5,1.38,0.087,0.0615,0.92,0.79,0.1646,0.1618,500.709991,487.390015,0.0273,0.0361,81.900002,85.93,-0.0469,-0.0234,616.074,608.263,0.0128,-0.0167,13.37,11.75,0.13787234,-0.017558528,0
3/31/1995,0.025,7.196,7.201,-0.0007,-0.0501,1.54,1.5,0.0267,0.087,0.97,0.92,0.0543,0.1646,514.710022,500.709991,0.028,0.0273,81.800003,81.900002,-0.0012,-0.0469,644.674,616.074,0.0464,0.0128,11.75,13.37,-0.121166791,0.13787234,1
4/28/1995,0.017,7.055,7.196,-0.0196,-0.0007,1.57,1.54,0.0195,0.0267,1.02,0.97,0.0515,0.0543,533.400024,514.710022,0.0363,0.028,82.57,81.800003,0.0094,-0.0012,666.043,644.674,0.0331,0.0464,12.85,11.75,0.093617021,-0.121166791,1
5/31/1995,0.049,6.284,7.055,-0.1093,-0.0196,1.73,1.57,0.1019,0.0195,1.13,1.02,0.1078,0.0515,544.75,533.400024,0.0213,0.0363,81.580002,82.57,-0.012,0.0094,670.635,666.043,0.0069,0.0331,11.38,12.85,-0.114396887,0.093617021,1
6/30/1995,0.01,6.203,6.284,-0.0129,-0.1093,1.76,1.73,0.0173,0.1019,1.13,1.13,0,0.1078,562.059998,544.75,0.0318,0.0213,81.57,81.580002,-0.0001,-0.012,669.317,670.635,-0.002,0.0069,13.49,11.38,0.185413005,-0.114396887,1
7/31/1995,0.04,6.426,6.203,0.036,-0.0129,1.7,1.76,-0.0341,0.0173,1.08,1.13,-0.0442,0,561.880005,562.059998,-0.0003,0.0318,85.57,81.57,0.049,-0.0001,701.687,669.317,0.0484,-0.002,11.52,13.49,-0.146034099,0.185413005,1
